"","policy_id","province_region","response_level","date_announce_cln","date_start_cln","date_end_cln"
"1","X5","Heilongjiang","Level II",2020-01-21,2020-01-21,2020-01-25
"2","X1","Hubei","Level II",2020-01-21,2020-01-21,2020-01-24
"3","P1","Guangdong","Level I",2020-01-23,2020-01-23,2020-02-24
"4","X2","Hubei","Level I",2020-01-24,2020-01-24,2020-05-02
"5","X15","Hunan","Level I",2020-01-24,2020-01-24,2020-03-10
"6","X12","Jiangxi","Level I",2020-01-24,2020-01-24,2020-03-12
"7","X18","Hebei","Level I",2020-01-25,2020-01-25,2020-04-30
"8","X6","Heilongjiang","Level I",2020-01-25,2020-01-25,2020-03-04
"9","X9","Jilin","Level I",2020-01-25,2020-01-25,2020-02-26
"10","X21","Neimenggu","Level I",2020-01-25,2020-01-25,2020-02-25
"11","X23","Tianjin","Level I",2020-01-25,2020-01-25,2020-04-30
"12","P2","Guangdong","Level II",2020-02-24,2020-02-24,2020-05-09
"13","X22","Neimenggu","Level III",2020-02-25,2020-02-25,2020-07-31
"14","X10","Jilin","Level II",2020-02-26,2020-02-26,2020-03-20
"15","X7","Heilongjiang","Level II",2020-03-04,2020-03-04,2020-03-25
"16","X16","Hunan","Level II",2020-03-10,2020-03-10,2020-03-31
"17","X13","Jiangxi","Level II",2020-03-12,2020-03-12,2020-03-20
"18","X14","Jiangxi","Level III",2020-03-20,2020-03-20,2020-07-31
"19","X11","Jilin","Level III",2020-03-20,2020-03-20,2020-07-31
"20","X8","Heilongjiang","Level III",2020-03-25,2020-03-25,2020-07-31
"21","X17","Hunan","Level III",2020-03-31,2020-03-31,2020-07-31
"22","X19","Hebei","Level II",2020-04-29,2020-04-30,2020-06-06
"23","X24","Tianjin","Level II",2020-04-29,2020-04-30,2020-06-06
"24","X3","Hubei","Level II",2020-05-01,2020-05-02,2020-06-13
"25","P3","Guangdong","Level III",2020-05-08,2020-05-09,2020-07-31
"26","X20","Hebei","Level III",2020-06-05,2020-06-06,2020-07-31
"27","X25","Tianjin","Level III",2020-06-05,2020-06-06,2020-07-31
"28","X4","Hubei","Level III",2020-06-12,2020-06-13,2020-07-31
